mec@mec-HP-Pro-SFF-400-G9-Desktop-PC:~/Downloads$ ./t4
Threads	 Time		Speedup
1	 4.987655		1
2	 4.382448		1.138
4	 3.536235		1.410
6	 2.045159		2.438
8	 2.050734		2.433
10	 2.048867		2.435
12	 2.049522		2.434
14	 2.047420		2.436
16	 2.045685		2.438

n=8

mec@mec-HP-Pro-SFF-400-G9-Desktop-PC:~/Downloads$ ./t4
Threads	Time	Speedup
1	 12.740122  1
2	 10.854422	1.17
4	 5.860312   2.17
6	 5.166209	2.46
8	 3.888373	3.27
10	 3.778832	3.37
12	 3.826081	3.33
14	 3.848113	3.31
16	 3.800691	3.35

N=10
Threads	 Time	Speedup
1	 20.145146	1
2	 15.952140	1.26
4	 8.541459	2.35
6	 7.331126	2.747
8	 5.176444	3.892
10	 4.464908	4.512
12	 4.434196	4.543
14	 4.262921	4.726
16	 4.253883	4.736

